"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
16451,"false","dataResult",20,"F",6,"B","true","AU2ZVFNIW7O9TRMXSPAJ","[object Object]","[object Object]","NA","NA",1489612194500,"lgc0"
19328,"false","dataResult",20,"F",3,"A","true","AUQEO8KSZN2R4Y1D39X7","[object Object]","[object Object]","NA","NA",1489612198210,"lgc0"
31373,"false","dataResult",22,"M",4,"A","true","AUYW4R6UPZ7HJBIN0812","[object Object]","[object Object]","NA","NA",1489612209441,"lgc0"
