"time","timeup","module","done","player","stage","stage","step","round","timestamp","session"
11022,"false","resultModule1","true","AUL9K5IMG7U1JZDFEBNA","[object Object]","[object Object]","NA","NA",1506261093435,"lgc0"
16193,"false","resultModule1","true","AUJS4UVNGDCAHI9L5KPT","[object Object]","[object Object]","NA","NA",1506261098699,"lgc0"
26965,"false","resultModule1","true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA","NA",1506261109378,"lgc0"
30998,"false","NA","true","AU3G2JUFQZCWN5H71V8T","[object Object]","[object Object]","NA","NA",1506261114343,"lgc0"
