"time","timeup","module","age","gender","politics","trust","done","player","stage","stage","step","round","timestamp","session"
9188,"false","dataResult",27,"F",0,"A","true","AU3G2JUFQZCWN5H71V8T","[object Object]","[object Object]","NA","NA",1506260993435,"lgc0"
10504,"false","dataResult",54,"F",1,"A","true","AUL9K5IMG7U1JZDFEBNA","[object Object]","[object Object]","NA","NA",1506260994525,"lgc0"
13445,"false","dataResult",26,"M",1,"A","true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA","NA",1506260997472,"lgc0"
15803,"false","dataResult",39,"M",1,"B","true","AUJS4UVNGDCAHI9L5KPT","[object Object]","[object Object]","NA","NA",1506260999962,"lgc0"
