"time","timeup","module","totalEarnings","finalEarnings","done","player","stage","stage","step","round","timestamp","session"
4861,"false","Module0","NA",0,"true","AUJS4UVNGDCAHI9L5KPT","[object Object]","[object Object]","NA","NA",1506260261148,"lgc0"
10128,"false","Module1","NA",0,"true","AUL9K5IMG7U1JZDFEBNA","[object Object]","[object Object]","NA","NA",1506260265172,"lgc0"
30001,"false","Module0","NA",0,"true","AU8K40BLH6FGXC2QDERA","[object Object]","[object Object]","NA","NA",1506260284932,"lgc0"
31008,"false","Module1","NA",0,"true","AU3G2JUFQZCWN5H71V8T","[object Object]","[object Object]","NA","NA",1506260286331,"lgc0"
