"time","timeup","module","choise","select","value","totalECUs","done","player","stage","stage","step","round","timestamp","session"
537,"false","resultModule4",8,"A","1.00","NA","true","AU63HO87C9LXTAEGQKUY","[object Object]","[object Object]","NA","NA",1506288552610,"lgc0"
927,"false","resultModule4",8,"A","1.00","NA","true","AUPWJO8QBMC2H6G097IF","[object Object]","[object Object]","NA","NA",1506288558381,"lgc0"
569,"false","resultModule4",7,"A","1.00","NA","true","AU78H41UGBM90AXTEJPZ","[object Object]","[object Object]","NA","NA",1506288563207,"lgc0"
1089,"false","resultModule4",9,"A","1.00","NA","true","AU9FEM16JWBU23YPXSRT","[object Object]","[object Object]","NA","NA",1506288568609,"lgc0"
