"time","timeup","module","round","preEarnings","totalEarnings","correct","declareEarnings","statusDeclare","taxPaid","finalEarnings","taxRate","done","player","stage","stage","step","round","timestamp","session"
"3946","false","Module2","2","1650","1658.25","11","100","false","30","1620","0.3","true","AUZ0V8NE327CTQHYP15B","[object Object]","[object Object]","NA","2","1458940009553","lgc0"
"7737","false","Module2","2","900","818.25","6","400","false","120","780","0.3","true","AUTM0NIPBFZC3S91YL7J","[object Object]","[object Object]","NA","2","1458940013355","lgc0"
"7296","false","Module2","2","1650","1685.25","11","10","false","3","1647","0.3","true","AU8HRPI3EMV1ZYXNGUJA","[object Object]","[object Object]","NA","2","1458940013580","lgc0"
"9893","false","Module2","2","1200","1238.25","8","0","false","0","1200","0.3","true","AUDC5NOUKWFAI7MRGLXT","[object Object]","[object Object]","NA","2","1458940015586","lgc0"
